date,price,open,high,low,vol.,change %,vol,perc_chg
02-06-2022,"1,293.14","1,304.00","1,304.00","1,284.76",,-1.05%,,
03-06-2022,"1,298.02","1,300.07","1,302.03","1,297.71",,0.38%,,
06-06-2022,"1,315.41","1,293.76","1,316.48","1,293.13",,1.34%,,
07-06-2022,"1,305.25","1,314.89","1,315.46","1,298.54",,-0.77%,,
08-06-2022,"1,338.35","1,308.75","1,340.45","1,308.59",,2.54%,,
09-06-2022,"1,341.07","1,340.84","1,348.61","1,330.29",,0.20%,,
10-06-2022,"1,323.14","1,333.41","1,333.41","1,311.16",,-1.34%,,
13-06-2022,"1,270.38","1,318.43","1,318.43","1,268.41",,-3.99%,,
14-06-2022,"1,261.15","1,265.30","1,266.49","1,243.89",,-0.73%,,
15-06-2022,"1,268.81","1,264.14","1,275.24","1,260.09",,0.61%,,
16-06-2022,"1,251.28","1,274.91","1,290.42","1,248.42",,-1.38%,,
17-06-2022,"1,252.29","1,251.33","1,257.18","1,236.65",,0.08%,,
20-06-2022,"1,251.40","1,254.23","1,254.63","1,235.45",,-0.07%,,
21-06-2022,"1,269.72","1,251.56","1,270.51","1,250.28",,1.46%,,
22-06-2022,"1,237.49","1,272.10","1,272.92","1,236.93",,-2.54%,,
23-06-2022,"1,240.24","1,238.44","1,248.71","1,230.01",,0.22%,,
24-06-2022,"1,266.62","1,245.35","1,268.21","1,245.35",,2.13%,,
27-06-2022,"1,293.16","1,270.21","1,310.82","1,269.56",,2.10%,,
28-06-2022,"1,291.15","1,291.40","1,294.38","1,272.27",,-0.16%,,
29-06-2022,"1,266.86","1,286.06","1,286.37","1,261.74",,-1.88%,,
30-06-2022,"1,246.39","1,265.40","1,265.40","1,242.60",,-1.62%,,
01-07-2022,"1,230.73","1,248.60","1,250.12","1,227.70",,-1.26%,,
04-07-2022,"1,230.14","1,231.26","1,235.23","1,218.50",,-0.05%,,
05-07-2022,"1,234.65","1,230.28","1,247.59","1,228.06",,0.37%,,
